Teams,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
DET,1,-0.167,12,6,-0.119,4,-0.066,1,-0.351,1,-0.155,5,-0.031,1,-0.38,10,0.048,11,0.007
SEA,2,-0.16,1,1,-0.201,3,-0.076,3,-0.276,4,-0.116,6,-0.014,3,-0.256,19,0.066,16,-0.002
BUF,3,-0.157,4,2,-0.196,1,-0.168,12,-0.141,2,-0.147,1,-0.144,10,-0.151,12,0.052,4,0.022
DEN,4,-0.123,15,5,-0.126,7,-0.04,2,-0.283,5,-0.097,7,-0.009,2,-0.267,1,0.017,22,-0.012
SF,5,-0.096,13,7,-0.098,6,-0.056,10,-0.153,6,-0.072,4,-0.041,16,-0.117,31,0.094,8,0.014
HOU,6,-0.093,16,3,-0.163,2,-0.084,16,-0.108,3,-0.135,2,-0.138,11,-0.13,22,0.07,32,-0.056
ARI,7,-0.088,2,11,-0.067,9,0.007,4,-0.243,7,-0.07,8,0.007,6,-0.197,13,0.058,6,0.021
STL,8,-0.069,8,4,-0.144,11,0.038,5,-0.219,8,-0.07,11,0.023,5,-0.201,30,0.089,14,0
BAL,9,-0.043,9,12,-0.054,17,0.069,6,-0.214,9,-0.057,17,0.07,4,-0.252,15,0.059,23,-0.014
PHI,10,-0.031,22,13,-0.047,19,0.096,7,-0.194,11,-0.03,20,0.097,7,-0.194,27,0.077,24,-0.015
IND,11,-0.025,17,9,-0.074,10,0.026,18,-0.093,10,-0.033,10,0.022,17,-0.106,29,0.087,26,-0.021
NE,12,-0.02,20,14,-0.042,15,0.054,13,-0.126,14,-0.015,16,0.062,13,-0.124,26,0.077,15,0
CLE,13,-0.02,27,10,-0.068,5,-0.056,31,0.022,12,-0.027,3,-0.043,28,-0.008,23,0.074,25,-0.019
CIN,14,-0.012,5,16,-0.03,8,-0.015,27,-0.007,17,0.003,13,0.038,24,-0.043,32,0.103,10,0.01
CAR,15,-0.009,3,8,-0.078,14,0.053,17,-0.101,19,0.022,18,0.092,19,-0.084,25,0.075,5,0.021
GB,16,0,31,20,-0.007,13,0.049,22,-0.065,15,-0.008,9,0.019,23,-0.044,24,0.075,21,-0.011
MIA,17,0.014,18,27,0.077,18,0.081,21,-0.067,16,-0.004,14,0.06,20,-0.079,28,0.086,19,-0.004
DAL,18,0.015,29,17,-0.011,16,0.068,23,-0.062,13,-0.023,12,0.026,18,-0.094,21,0.07,30,-0.042
TB,19,0.02,10,15,-0.032,24,0.159,11,-0.148,20,0.027,23,0.181,9,-0.161,20,0.067,3,0.022
KC,20,0.023,11,19,-0.008,12,0.046,29,-0.007,21,0.036,15,0.061,31,0.002,8,0.047,9,0.013
JAX,21,0.028,30,18,-0.01,20,0.103,24,-0.06,18,0.015,19,0.093,22,-0.077,14,0.058,17,-0.002
NYJ,22,0.045,14,22,0.045,25,0.189,9,-0.157,25,0.085,29,0.235,12,-0.127,3,0.033,1,0.037
MIN,23,0.055,24,25,0.065,21,0.11,25,-0.013,22,0.05,22,0.105,27,-0.017,2,0.029,12,0.003
SD,24,0.062,32,21,0.024,26,0.206,14,-0.121,23,0.054,25,0.193,14,-0.124,9,0.048,18,-0.003
NYG,25,0.067,6,23,0.06,22,0.125,26,-0.013,24,0.072,21,0.1,32,0.033,17,0.061,27,-0.023
OAK,26,0.08,28,26,0.07,30,0.248,15,-0.114,30,0.12,32,0.292,21,-0.077,4,0.035,2,0.029
NO,27,0.087,7,24,0.062,23,0.147,30,0.008,28,0.102,24,0.184,30,-0.003,16,0.06,13,0.002
WAS,28,0.109,21,32,0.158,32,0.302,8,-0.159,27,0.095,31,0.29,8,-0.176,11,0.052,29,-0.031
CHI,29,0.114,25,31,0.158,29,0.244,20,-0.068,32,0.124,30,0.243,25,-0.043,18,0.063,7,0.02
PIT,30,0.125,23,28,0.102,31,0.268,19,-0.092,26,0.085,27,0.22,15,-0.118,5,0.037,31,-0.045
ATL,31,0.131,26,29,0.112,28,0.235,28,-0.007,31,0.123,28,0.229,26,-0.019,7,0.046,20,-0.011
TEN,32,0.132,19,30,0.14,27,0.225,32,0.024,29,0.103,26,0.2,29,-0.008,6,0.042,28,-0.028
