Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,Weighted DVOA Rank,Weighted DVOA,DAVE Rank,DAVE,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
PIT,1,-24.6%,2,1,-26.0%,1,-20.6%,1,-23.5%,6,-26.2%,1,-30.0%,1,-32.5%,4,-26.5%,29,8.0%,31,-8.6%
TB,2,-21.7%,1,3,-21.3%,2,-18.4%,2,-11.6%,1,-39.2%,2,-19.4%,4,-9.3%,1,-36.9%,28,7.7%,10,3.4%
NO,3,-19.8%,5,2,-21.9%,3,-17.7%,5,-11.2%,2,-34.8%,3,-16.6%,7,-5.4%,2,-36.1%,32,9.5%,8,4.2%
CHI,4,-18.6%,3,4,-20.2%,4,-16.3%,3,-11.4%,3,-28.3%,6,-13.1%,8,-4.6%,6,-24.5%,4,2.2%,2,6.0%
IND,5,-14.9%,4,5,-14.7%,5,-11.5%,6,-6.5%,5,-26.3%,4,-16.5%,5,-8.9%,3,-26.8%,24,6.7%,24,-3.1%
WAS,6,-12.2%,7,6,-12.3%,8,-9.2%,4,-11.4%,13,-13.3%,7,-12.0%,2,-14.4%,18,-9.0%,30,8.8%,27,-6.0%
BAL,7,-11.6%,6,8,-11.4%,7,-9.3%,9,-1.7%,4,-26.3%,8,-11.1%,9,-1.0%,5,-26.1%,31,9.0%,19,-1.2%
LAR,8,-9.3%,8,7,-12.2%,6,-9.9%,7,-4.9%,12,-16.1%,5,-14.0%,3,-10.8%,8,-19.0%,23,5.7%,26,-5.5%
DEN,9,-5.3%,11,9,-5.3%,9,-4.6%,8,-2.5%,16,-9.1%,12,-3.4%,13,2.4%,16,-11.7%,18,4.1%,5,4.5%
SF,10,-3.3%,12,11,-2.6%,11,-2.7%,17,10.1%,7,-21.1%,14,-0.7%,19,11.8%,10,-17.4%,27,7.2%,13,1.6%
MIN,11,-2.9%,10,10,-2.9%,12,-1.9%,12,0.3%,19,-7.3%,16,2.4%,20,11.8%,17,-10.2%,6,2.6%,4,4.7%
ARI,12,-2.0%,9,12,-2.5%,13,-1.6%,13,4.6%,14,-12.4%,11,-4.3%,12,2.1%,13,-14.5%,16,3.9%,20,-1.2%
PHI,13,-1.2%,15,13,-2.3%,10,-2.9%,20,13.0%,11,-16.4%,9,-6.3%,14,3.1%,11,-16.3%,20,4.4%,29,-6.6%
KC,14,0.3%,14,16,1.2%,16,0.8%,10,-1.3%,30,2.3%,15,-0.3%,10,-0.7%,26,0.1%,13,3.5%,23,-1.3%
MIA,15,0.6%,13,14,-2.1%,14,-0.4%,11,0.2%,29,1.1%,13,-2.7%,6,-7.2%,30,3.1%,26,7.0%,18,-1.1%
CLE,16,1.3%,18,15,0.0%,17,1.0%,15,9.4%,15,-9.9%,10,-4.5%,11,1.2%,14,-12.5%,22,5.0%,30,-7.9%
BUF,17,3.5%,17,17,2.3%,15,0.1%,14,7.3%,26,-1.2%,18,4.8%,15,8.4%,27,0.4%,10,2.9%,6,4.5%
GB,18,4.0%,16,18,3.1%,18,3.6%,19,11.7%,20,-5.4%,19,5.1%,21,14.4%,21,-6.1%,5,2.3%,11,3.0%
CAR,19,6.3%,27,21,6.3%,26,6.8%,21,13.6%,22,-4.0%,25,8.1%,24,17.9%,22,-5.7%,7,2.8%,3,5.4%
LAC,20,6.5%,19,25,8.3%,22,5.5%,16,10.1%,27,0.8%,21,5.6%,17,9.9%,24,-0.9%,19,4.4%,21,-1.2%
ATL,21,6.9%,22,19,6.1%,20,4.9%,26,21.3%,10,-16.9%,23,6.7%,26,20.6%,12,-16.2%,14,3.6%,14,1.4%
DAL,22,7.0%,20,23,7.1%,23,5.7%,22,14.0%,25,-1.2%,22,5.7%,16,8.6%,28,2.3%,15,3.6%,22,-1.2%
SEA,23,7.0%,23,20,6.3%,19,4.7%,27,22.5%,8,-19.4%,24,7.3%,29,22.6%,9,-18.8%,1,1.2%,12,2.3%
LV,24,8.1%,21,22,6.7%,21,5.2%,18,11.5%,32,3.1%,29,13.7%,25,20.0%,31,4.7%,12,3.3%,1,6.6%
DET,25,8.1%,25,24,7.9%,24,6.0%,23,15.8%,24,-1.3%,26,9.6%,22,15.4%,29,2.5%,17,4.1%,16,0.2%
TEN,26,8.7%,24,26,8.5%,25,6.2%,25,20.8%,18,-7.9%,20,5.5%,23,15.9%,19,-8.9%,11,3.0%,28,-6.3%
NYJ,27,9.5%,29,27,10.7%,27,8.1%,32,32.6%,9,-19.1%,27,11.1%,32,37.9%,7,-22.1%,3,2.0%,17,0.2%
NYG,28,10.0%,26,28,10.9%,28,8.4%,29,23.1%,17,-9.0%,17,2.6%,18,10.0%,20,-8.3%,8,2.8%,32,-9.3%
HOU,29,12.0%,28,29,12.8%,29,10.4%,24,20.0%,31,2.9%,30,14.2%,28,21.5%,32,5.8%,2,1.7%,7,4.3%
CIN,30,12.3%,30,31,13.7%,31,11.9%,28,22.6%,23,-1.6%,28,11.8%,27,20.7%,25,-0.3%,21,4.6%,25,-3.7%
JAX,31,13.6%,31,30,13.0%,30,10.6%,30,27.9%,21,-4.9%,31,15.5%,31,36.8%,15,-11.8%,9,2.8%,9,3.7%
NE,32,16.4%,32,32,19.3%,32,15.5%,31,29.5%,28,1.0%,32,15.7%,30,30.6%,23,-1.8%,25,7.0%,15,0.5%
