Teams,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
CHI,1,-0.254,14,1,-0.269,1,-0.217,2,-0.32,1,-0.256,1,-0.196,1,-0.364,11,0.051,23,-0.031
BUF,2,-0.14,18,2,-0.16,2,-0.153,15,-0.125,4,-0.121,2,-0.133,18,-0.107,31,0.088,20,-0.018
MIN,3,-0.126,1,3,-0.14,3,-0.092,10,-0.169,3,-0.134,3,-0.106,7,-0.169,27,0.075,22,-0.028
BAL,4,-0.117,4,4,-0.133,4,-0.079,9,-0.179,6,-0.088,4,-0.04,8,-0.166,28,0.084,5,0.046
HOU,5,-0.097,19,7,-0.076,13,0.049,1,-0.345,2,-0.136,6,-0.011,2,-0.348,6,0.043,31,-0.067
DEN,6,-0.089,11,6,-0.113,5,-0.078,19,-0.105,9,-0.064,5,-0.032,16,-0.109,13,0.053,7,0.038
JAX,7,-0.088,2,10,-0.066,7,-0.005,5,-0.202,7,-0.069,13,0.032,6,-0.209,17,0.057,17,-0.012
NO,8,-0.073,6,5,-0.131,12,0.046,3,-0.297,10,-0.062,17,0.069,3,-0.308,21,0.062,9,0.032
DAL,9,-0.06,16,9,-0.068,9,0.033,6,-0.201,8,-0.069,12,0.029,5,-0.216,16,0.057,18,-0.012
LAC,10,-0.041,10,11,-0.043,10,0.041,11,-0.152,11,-0.037,10,0.018,14,-0.112,1,0.018,12,0.007
IND,11,-0.035,27,8,-0.072,15,0.092,4,-0.212,5,-0.089,11,0.024,4,-0.245,15,0.055,32,-0.087
ARI,12,-0.024,3,17,0.005,6,-0.035,29,-0.012,17,0.004,9,0.009,27,0,2,0.038,4,0.048
CLE,13,-0.016,20,20,0.032,8,0.002,25,-0.042,14,-0.012,8,0.008,24,-0.041,26,0.075,3,0.054
PIT,14,-0.005,9,12,-0.005,21,0.121,7,-0.199,21,0.032,24,0.158,9,-0.16,18,0.057,6,0.045
PHI,15,0.009,5,18,0.024,19,0.107,8,-0.194,19,0.021,19,0.102,10,-0.147,29,0.087,15,-0.007
LAR,16,0.01,7,15,0,11,0.045,24,-0.042,12,-0.033,7,0.004,23,-0.087,5,0.043,21,-0.019
SEA,17,0.01,13,21,0.036,16,0.093,16,-0.12,13,-0.012,16,0.067,12,-0.137,8,0.045,16,-0.009
TEN,18,0.013,23,16,0.004,20,0.118,17,-0.116,16,-0.01,18,0.085,13,-0.127,14,0.055,27,-0.049
NE,19,0.014,31,13,-0.003,17,0.095,13,-0.129,15,-0.012,15,0.062,11,-0.141,24,0.07,28,-0.053
WAS,20,0.028,12,19,0.028,14,0.064,27,-0.024,18,0.013,14,0.042,25,-0.03,19,0.057,19,-0.017
DET,21,0.044,15,14,-0.002,24,0.169,14,-0.129,20,0.03,21,0.13,15,-0.11,30,0.087,24,-0.033
NYJ,22,0.049,22,28,0.118,22,0.134,20,-0.073,22,0.04,22,0.133,19,-0.095,23,0.067,26,-0.041
CAR,23,0.055,8,24,0.049,23,0.169,18,-0.108,25,0.063,25,0.18,17,-0.107,10,0.05,8,0.032
SF,24,0.065,26,25,0.075,29,0.212,12,-0.129,27,0.101,30,0.246,20,-0.09,4,0.042,10,0.027
NYG,25,0.068,25,23,0.045,25,0.17,21,-0.063,23,0.045,23,0.151,22,-0.089,7,0.045,25,-0.036
MIA,26,0.071,28,30,0.131,27,0.192,22,-0.063,24,0.057,26,0.189,21,-0.089,25,0.071,30,-0.061
KC,27,0.077,29,22,0.041,18,0.1,32,0.045,26,0.074,20,0.111,30,0.023,3,0.039,14,0.005
CIN,28,0.097,21,31,0.135,26,0.185,28,-0.017,30,0.135,29,0.234,29,0.006,22,0.062,1,0.071
GB,29,0.116,24,32,0.148,28,0.206,30,-0.003,28,0.111,28,0.216,26,-0.028,32,0.092,29,-0.06
ATL,30,0.125,17,26,0.092,30,0.234,26,-0.033,29,0.125,27,0.19,31,0.031,20,0.058,13,0.007
OAK,31,0.142,30,27,0.116,32,0.323,23,-0.05,31,0.188,32,0.365,28,0.001,9,0.046,2,0.062
TB,32,0.162,32,29,0.126,31,0.272,31,0.016,32,0.191,31,0.306,32,0.037,12,0.052,11,0.018
